,PMID,database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,doi,citation,authours,year,pmid,notes,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),Age,min age,max age,follow up min,follow up max,old_notes,Notes_y,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3
0,1908974,Pub-med,Hypoglossal-facial nerve interpositional-jump graft for facial reanimation without tongue atrophy,"The hemitongue paralysis that occurs as a result of a classic hypoglossal-facial nerve crossover procedure can result in profound functional deficits in speech, mastication, and swallowing. The procedure is not an option in patients with bilateral facial paralysis or those at risk for combined cranial nerve deficits. To address some of the drawbacks and limitations of this classic procedure, we developed the hypoglossal-facial nerve interpositional jump graft (12-7 jump graft) procedure. This procedure involves interposing a nerve graft between a partially severed but functionally intact twelfth cranial nerve and the degenerated seventh cranial nerve, and is often combined with other reanimation procedures. To date, we have performed 33 12-7 jump graft procedures in 30 patients (three were treated for bilateral facial paralysis); this report describes the procedure and its indications, and details the results of 23 procedures performed in 20 patients for whom 24-month follow-up data are available. Twelfth nerve deficits occurred in only three patients in this report. Recovery of facial function began between 3 and 24 months postoperatively. Facial tone and symmetry were achieved in every patient, no patient had significant mass movement, and 13 patients (two of whom were treated for bilateral facial paralysis) had excellent and three had superb restoration of facial movement. These results show the 12-7 jump graft to be a valuable adjunct for facial reanimation in selected patients.",3,,0,2,2.0,0,2,1,0,10.1177/019459989110400609,Otolaryngol Head Neck Surg. 1991 Jun;104(6):818-25. doi: 10.1177/019459989110400609.,"May M, Sobol SM, Mester SJ.",1991,1908974,"Tools: Classification system (not specified) Outcomes:CN 12 deficits, tongue atrophy, difficulty swallowing, mastication, and speech",23.0,3.0,24.0,41.0,6.0,75.0,24.0,,,,Hypoglossal nerve transfer,,,,,,
1,2025755,Pub-med,Reanimation for facial palsy using gracilis muscle grafts,"Twelve patients have been reviewed at least 2 years after gracilis muscle transfer, preceded by crossface nerve grafting, for complete unilateral facial palsy. Levels of satisfaction among the patients were good. Examination showed all had voluntary movement of the graft which could produce reasonable mouth symmetry in most patients. However, the involuntary spontaneity and expressive movements were not so satisfactory, though still worthwhile. The technique and some lessons learned from this experience are discussed. It appears from electromyographic studies that continuing innervation and activity can occur in these grafts for many years postoperatively.",1,,1,3,0.0,9,8,1,0,10.1016/0007-1226(91)90126-5,Br J Plast Surg. 1991 Apr;44(3):195-200. doi: 10.1016/0007-1226(91)90126-5.,"Sassoon EM, Poole MD, Rushworth G.",1991,2025755,"Tools:postal questionnaire, EMG, clinical evaluation, Outcomes:satisfaction level, appearance,",12.0,18.0,,31.25,6.0,59.0,4.0,,"Multiple nerve grafts:nerve graft,nerve grafting",,Cross-facial nerve transfer,,,,,,
2,2248739,Pub-med,Simultaneous 'dual system' rehabilitation in the treatment of facial paralysis,"Simultaneous dual system rehabilitation of facial paralysis involves using two independent reanimation techniques to optimize facial movement in both a quantitative and qualitative manner. These techniques involve the use of nerve grafting or crossover procedures combined with a dynamic muscle transfer. A group of 37 patients who underwent five different combinations of reanimation was analyzed. The techniques were evaluated using a standard rating scheme for judging success of reanimation procedures. The combination of a masseter muscle transfer to the lower region of the face and a cable graft of the upper facial nerve division appeared to offer excellent results in terms of independent motion of the upper and lower regions of the face and good eye closure, while allowing spontaneous mimetic function in 50% of cases. The advantages and disadvantages of the other techniques are described. The clinical situations in which these techniques have advantage over single reanimation techniques are outlined.",0,,0,0,0.0,1,4,1,0,10.1001/archotol.1990.01870120045006,Arch Otolaryngol Head Neck Surg. 1990 Dec;116(12):1399-403. doi: 10.1001/archotol.1990.01870120045006.,"Casler JD, Conley J.",1990,2248739,,37.0,3.0,10.3,,,,24.0,,"Multiple nerve grafts:nerve graft,nerve grafting,cable graft",,no nerve transfer,,,,,,
3,2359779,Pub-med,Results of management of facial palsy with microvascular free-muscle transfer,"This paper reports our experience in facial reanimation using free innervated muscle transfer in 69 patients with long-term facial palsy. The majority of patients were treated in two stages with cross-facial nerve graft as the first stage and microvascular muscle transfer at the second stage. The gracilis muscle was used in 62 patients. A system of grading results has been utilized in the long-term evaluation. The overall final result was excellent or good in 51 percent of 47 patients who were available for follow-up. Although the results are not completely satisfactory, they justify the use of this approach to a difficult clinical problem. The results are improving as technical modifications to the procedure have evolved. The gracilis muscle is a reliable free transfer with internal anatomy conductive to use for reanimation of the paralyzed face. This type of transfer, in our experience, has proved superior to nonmicrosurgical methods for treatment of complete and severe incomplete facial palsy. The seventh cranial nerve is used in the innervation of the transferred muscle, the ipsilateral being preferable if available. The authors believe that use of the same cranial nerve is superior to methods that involve other cranial nerves, where spontaneity is often not achieved.",1,,0,0,9.0,9,8,1,0,,Plast Reconstr Surg. 1990 Jul;86(1):12-22; discussion 23-4.,"O'Brien BM, Pederson WC, Khazanchi RK, Morrison WA, MacLeod AM, Kumar V.",1990,2359779,"neg: hematoma, vascular complications",69.0,6.0,9.0,33.0,6.0,65.0,24.0,,,,Cross-facial nerve transfer,,,,,,
4,2710828,Pub-med,Pectoralis minor: a unique muscle for correction of facial palsy,"The author introduced this muscle for the first time almost a decade ago, and this is the first extensive description of the intricate microanatomy of this complex but unique microneurovascular muscle unit. Advantages and disadvantages and indications and contraindications for its use in facial paralysis are presented in detail from an extensive clinical experience of almost 50 such microneurovascular transfers. Pitfalls that the reconstructive microsurgeon should beware and strengths in using this muscle for facial palsy are highlighted. The detailed operative approach is presented, with promise of undetectable scars and minimal functional loss. The strategies for how to inset this muscle unit in the new recipient site are given, along with the thought processes involved in selecting the actual sites of anchoring the muscle to reproduce a mirror image of the contralateral normal face. Finally, an exemplary clinical case demonstrating the use of the pectoralis minor muscle for both eye and lower face reanimation is presented in detail, demonstrating the dual nerve supply and the resulting independent eye and smile movements with total lack of mass action and/or synkinesis. Restorations of eye blink and of a symmetrical and coordinated smile are the frequent rewards of using this unique muscle for the correction of facial palsy.",0,,0,0,1.0,9,4,1,0,,Plast Reconstr Surg. 1989 May;83(5):767-76.,Terzis JK.,1989,2710828,"Tools: clinical evaluation Outcomes: advantages, disadvantages, and complications of muscle tranfer, smile, synkinesis, eye blink, symmetry",50.0,,,,,,,,,,no nerve transfer,,,,,,
5,3083357,Pub-med,Preliminary observations after facial rehabilitation with the ansa hypoglossi pedicle transfer,"Facial paralysis is a very disabling condition, both functionally and cosmetically. Despite the different methods of facial reanimation that have been described, there is no single method that will restore normal facial tone and motion. Of the methods available, primary neurorrhaphy is probably the most effective. The recovery period, however, is prolonged and, as a result, muscle tone and bulk may be lost. The hypoglossal-facial anastomosis is also a very reliable and effective technique but requires necessary interruption of both major cranial nerve trunks. Transfer of a neuromuscular pedicle (based on the ansa hypoglossi) has been offered as a method of facial reanimation that involves neither prolonged recovery nor interruption of the major cranial nerve functions. The application of this technique for reinnervation of a paralyzed larynx was first described by Tucker in 1970, and the technique was applied to facial muscle (in animal models) in 1977. The effectiveness of this technique--and its application in the management of facial paralysis in the human patient--remains controversial. We report our experience with a series of six patients who underwent neuromuscular pedicle transfer in conjunction with other more conventional methods of facial reanimation. The function of the pedicle and its contribution to the overall facial rehabilitation were assessed clinically and electromyographically. Factors influencing the success of the procedure and clinical and experimental evidence to support its application are discussed. While our experience with this technique is limited, it would appear that the neuromuscular pedicle transfer may play a useful adjunctive role in reanimation of the face in selective cases of facial paralysis.",3,,0,0,0.0,9,8,3,0,10.1177/019459988609400307,Otolaryngol Head Neck Surg. 1986 Mar;94(3):302-5. doi: 10.1177/019459988609400307.,"Anonsen CK, Duckert LG, Cummings CW.",1986,3083357,"Tools: EMG, clinical evaluation Outcomes: evidence of reinnervation, facial movements",6.0,5.15,,33.0,6.0,65.0,,,Multiple nerve grafts:hypoglossal,,Hypoglossal nerve transfer,,,,,,
6,3083358,Pub-med,Facial reanimation with the VII-XII anastomosis: analysis of the functional and psychologic results,"The VII-XII anastomosis has been employed for more than a decade by The Otology Group, P.C., in the facial reanimation of patients undergoing extirpation of tumors involving the cerebellopontine angle and the skull base. A retrospective review based upon a detailed questionnaire and submitted photographic documentation from 61 patients forms the basis for this review. Details and analysis of the functional results include onset of function, synkinetic activity, corneal irritation and associated ophthalmologic problems, facial tone and symmetry, and volitional mimetic function. From a psychosocial perspective, evaluation was made regarding workplace and home acceptance, self consciousness, adaptation, and overall satisfaction. Because of the nature of its technical performance and reliability, the VII-XII anastomosis is an important technique for the otolaryngologist to be familiar with. Cognizance of the functional and psychologic results with this procedure will ensure optimal (yet realistic) rehabilitation for this patient population.",3,,0,0,1.0,9,7,1,0,10.1177/019459988609400308,Otolaryngol Head Neck Surg. 1986 Mar;94(3):305-10. doi: 10.1177/019459988609400308.,"Pensak ML, Jackson CG, Glasscock ME 3rd, Gulya AJ.",1986,3083358,"Tools: patient evaluatio Outcomes: resting tone, memetic function, onset,areas of reanimation and synkinesis",61.0,5.33,9.0,48.75,,,24.0,,,,Hypoglossal nerve transfer,,,,,,
7,7719600,Pub-med,Irreversible muscle contracture after functioning free muscle transplantation using the ipsilateral facial nerve for reinnervation,"Four patients who underwent functioning free muscle transplantation (FFMT) for facial reconstruction developed a progressive disfiguring muscle contracture. This complication has not been previously reported. Three of the patients had longstanding facial paralysis and were reanimated by FFMT. The fourth patient had left hemifacial atrophy but without facial paralysis. She also underwent FFMT for augmentation. All four FFMTs were innervated by the ipsilateral facial nerve. Initially, they all had a normal facial appearance at rest during the first few months after FFMT. However, they all developed a progressive severe muscle contracture from 6 to 12 months after FFMT. Continuous spontaneous electrical impulse activity, which stimulated the transferred muscle day and night, may be responsible for the progressive muscle contracture. From the patients' reported sensations and from clinical evaluation, which included a local xylocaine injection test, over-reinnervation with a synkinesis effect of the transferred muscle is hypothetically the main cause, not over-tension of the muscle itself. This complication may possibly be avoided by limiting or decreasing the number of fascicles from the ipsilateral facial nerve or better by using a cross-facial nerve graft instead of the ipsilateral facial nerve as the innervating motor nerve. The outcome with a cross-facial nerve is likely to be more predictable and reliable.",1,,0,0,1.0,7,4,1,0,10.1016/0007-1226(95)90021-7,Br J Plast Surg. 1995 Jan;48(1):1-7. doi: 10.1016/0007-1226(95)90021-7.,"Chuang DC, Devaraj VS, Wei FC.",1995,7719600,,4.0,5.25,8.0,20.25,15.0,26.0,,,,,Cross-facial nerve transfer,,,,,,
8,7743053,Pub-med,"Cross-face reanimation of the paralysed face, with a single stage microneurovascular gracilis transfer without nerve graft: a preliminary report","This paper describes a method of cross-face reanimation of the paralysed face by a single stage transfer of gracilis. In this method, the nerve to the gracilis is kept long and tunnelled across the upper lip and joined directly to branches of the facial nerve on the normal side. The method avoids the need for a nerve graft and shortens the period of rehabilitation by 12 months. The results in 3 cases were good in 2 cases and fair in 1 case.",1,,1,0,9.0,7,8,3,0,10.1016/0007-1226(95)90101-9,Br J Plast Surg. 1995 Mar;48(2):83-8. doi: 10.1016/0007-1226(95)90101-9.,Kumar PA.,1995,7743053,"Negative Outcomes: drooling, slurred speech, asymmetry Tools: EMG, Clinical Evaluation",3.0,6.0,,30.0,11.0,56.0,,,,,Cross-facial nerve transfer,,,,,,
9,7815134,Embase,Hemihypoglossal-facial nerve anastomosis in treating unilateral facial palsy after acoustic neurinoma resection,"Eight patients underwent hemihypoglossal-facial nerve anastomosis (anastomosis of a split hypoglossal nerve to the facial nerve) for treatment of unilateral facial palsy. All patients previously had undergone resection of a large acoustic neurinoma and the facial nerve had been resected at that time. The interval between tumor reaction and hemihypoglossal-facial nerve anastomosis ranged from 1 to 6 months, with an average of 2.1 months. Postoperative recovery of facial movement was good in all cases during an average follow-up period of 4.2 years. In all eight patients, the degree of hypoglossal nerve atrophy on the operated side was graded mild or moderate, but not severe. It was concluded that hemihypoglossal-facial nerve anastomosis results in good facial reanimation as long as the procedure is performed early after the onset of facial palsy and that this procedure may reduce the degree of hemiglossal atrophy in comparison with classic hypoglossal-facial nerve anastomosis.",3,,0,0,9.0,9,2,1,0,10.3171/jns.1995.82.1.0051,Journal of Neurosurgery (1995) 82:1 (51-54). Date of Publication: 1995,"Arai H., Sato K., Yanai A.",1995,7815134,"neg: atrophy, synkinesis
pos: facial movement and symmetry at rest",8.0,4.0,6.0,,,,,,Multiple nerve grafts:hypoglossal,,Hypoglossal nerve transfer,,,,,,
