database,title,abstract,nerve_transfer,double_innervation_type,free_flap,other_tissue,negative_outcome,positive_outcome,measuring_tool,tool_category,botox,doi,citation,authours,year,pmid,notes,patients,time_to_reinnervation_(min),time_to_reinnervation_(max),old_notes,Notes_y,nerve_transfer_type_1,nerve_transfer_type_2,nerve_transfer_type_3,other_free_flap_type_1,free_flap_type_1,free_flap_type_2,free_flap_type_3
Pub-med,Pectoralis minor: a unique muscle for correction of facial palsy,"The author introduced this muscle for the first time almost a decade ago, and this is the first extensive description of the intricate microanatomy of this complex but unique microneurovascular muscle unit. Advantages and disadvantages and indications and contraindications for its use in facial paralysis are presented in detail from an extensive clinical experience of almost 50 such microneurovascular transfers. Pitfalls that the reconstructive microsurgeon should beware and strengths in using this muscle for facial palsy are highlighted. The detailed operative approach is presented, with promise of undetectable scars and minimal functional loss. The strategies for how to inset this muscle unit in the new recipient site are given, along with the thought processes involved in selecting the actual sites of anchoring the muscle to reproduce a mirror image of the contralateral normal face. Finally, an exemplary clinical case demonstrating the use of the pectoralis minor muscle for both eye and lower face reanimation is presented in detail, demonstrating the dual nerve supply and the resulting independent eye and smile movements with total lack of mass action and/or synkinesis. Restorations of eye blink and of a symmetrical and coordinated smile are the frequent rewards of using this unique muscle for the correction of facial palsy.",0,,0,0,1,9,4,1,0,,Plast Reconstr Surg. 1989 May;83(5):767-76.,Terzis JK.,1989,2710828,"Tools: clinical evaluation Outcomes: advantages, disadvantages, and complications of muscle tranfer, smile, synkinesis, eye blink, symmetry",50,,,,,no nerve transfer,,,,,,
Pub-med,Results of management of facial palsy with microvascular free-muscle transfer,"This paper reports our experience in facial reanimation using free innervated muscle transfer in 69 patients with long-term facial palsy. The majority of patients were treated in two stages with cross-facial nerve graft as the first stage and microvascular muscle transfer at the second stage. The gracilis muscle was used in 62 patients. A system of grading results has been utilized in the long-term evaluation. The overall final result was excellent or good in 51 percent of 47 patients who were available for follow-up. Although the results are not completely satisfactory, they justify the use of this approach to a difficult clinical problem. The results are improving as technical modifications to the procedure have evolved. The gracilis muscle is a reliable free transfer with internal anatomy conductive to use for reanimation of the paralyzed face. This type of transfer, in our experience, has proved superior to nonmicrosurgical methods for treatment of complete and severe incomplete facial palsy. The seventh cranial nerve is used in the innervation of the transferred muscle, the ipsilateral being preferable if available. The authors believe that use of the same cranial nerve is superior to methods that involve other cranial nerves, where spontaneity is often not achieved.",1,,0,0,9,9,8,1,0,,Plast Reconstr Surg. 1990 Jul;86(1):12-22; discussion 23-4.,"O'Brien BM, Pederson WC, Khazanchi RK, Morrison WA, MacLeod AM, Kumar V.",1990,2359779,"neg: hematoma, vascular complications",69,,,,,Cross-facial nerve transfer,,,,,,
Pub-med,One-stage microneurovascular free abductor hallucis muscle transplantation for reanimation of facial paralysis,"We introduce a new method using abductor hallucis muscle free transplantation for reanimation of the cheek with long-standing facial palsy in six young patients. The muscle is used to reanimate facial palsy because it has many unique advantages: (1) appropriate size and shape of the muscle and adequate bulk, (2) closely parallel alignment and unvaried anatomy of the main vessels and nerve distribution to the muscle, (3) a long neurovascular pedicle, (4) easy surgical isolation of the muscle and its neurovascular pedicle, and (5) no functional deficit after muscle removal. The nerve and muscle grafts can be performed by microneurovascular anastomosis in one surgical procedure. The follow-up period was over 1 year. A satisfactory result was obtained in five of six patients.",0,,2,0,0,9,8,1,0,,Plast Reconstr Surg. 1995 Jul;96(1):78-85.,"Jiang H, Guo ET, Ji ZL, Zhang ML, Lu V.",1995,7604134,"smile, symmetry,clinical evaluation, EMG",6,,,,,no nerve transfer,,,['Abductor hallucis flap'],Abductor hallucis flap,,
Embase,Management of 1000 vestibular schwannomas (acoustic neuromas): The facial nerve - Preservation and restitution of function,"OBJECTIVE: Although the rate of reported facial nerve preservation after surgery for vestibular schwannomas continuously increases, facial nerve paresis or paralysis is a frequent postsurgical sequelae of major concern. The major goal of this study was to define criteria for the right indication, timing, and type of therapy for patients with palsies despite anatomic nerve continuity and those with loss of anatomic continuity. METHODS: One thousand vestibular schwannomas were surgically treated at the Department of Neurosurgery at Nordstadt Hospital from 1978 to 1993. Of 979 cases of complete removal and 21 cases of deliberately partial removal, the facial nerve was anatomically preserved in 929 cases (93%). The rate of preservation is increasing, as is evidenced in the most recent cases, and preservation is supported by special electrophysiological monitoring. The facial nerve was anatomically severed in 60 cases (6%). It was anatomically lost in previous operations that were performed elsewhere in 11 cases (1%). In case of nerve discontinuity (42 cases), immediate nerve reconstruction by one of three available intracranial procedures (within the cerebellopontine angle, intracranial-intratemporal, intracranial-extracranial) was performed in the same surgical setting. In case of loss of the proximal facial nerve stump at the brain stem, early reanimation by combination with the hypoglossal nerve was achieved in most patients within weeks after tumor surgery. In a few patients with anatomic nerve continuity but absence of reinnervation for 10 to 12 months, a hypoglossal-facial combination was applied. All the patients with partial or with complete palsies were treated in a special follow-up program of regular controls and of modulation of physiotherapeutic treatment every 3 to 6 months. RESULTS: In intracranial nerve reconstruction at the cerebellopontine angle, 61 to 70% of patients regained complete eye closure and an overall result equivalent to House-Brackmann Grade 3. Hypoglossal- facial reanimation led to Grade 3 in 79%. The duration between the onset of paralysis and the reconstructive procedure is decisive for the quality of the outcome. These data are discussed in view of other treatment options and certain parameters influencing outcome. CONCLUSIONS: This management contains three major principles as follows: 1) preservation of facial nerve continuity in function by the aid of intraoperative monitoring, 2) early nerve reconstruction in case of lost continuity, and 3) scheduled follow-up program for all patients with incomplete or complete palsies.",3,,0,0,9,9,2,1,0,10.1097/00006123-199704000-00006,Neurosurgery (1997) 40:4 (684-695). Date of Publication: April 1997,"Samii M., Matthies C.",1997,9092841,neg: facial asymmetry and lagophthalmus ,1000,3,6,,,Hypoglossal nerve transfer,,,,,,
Pub-med,Facial reanimation after temporal bone fracture,"Fracture of the temporal bone is usually associated with skull injury and the patient is initially seen in the emergency room. As a result the diagnosis of facial paralysis may be delayed. The aim of this study is to emphasize the importance of early diagnosis and treatment of facial paralysis in such cases. Between 1990 and 1996, sixteen patients with facial paralysis due to temporal bone fracture were operated on within one month of trauma. The surgical technique was selected on the basis of the location of fallopian canal involvement and the patients hearing status. Six patients had grade VI, 7 had grade V and 3 had grade IV facial weakness preoperatively. Twelve patients had serviceable hearing. 9 of them underwent facial decompression through the transmastoid approach and 3 were operated on via the middle fossa approach. Four patients with unserviceable hearing had the operation through the translabyrinthine route. Postoperatively, 15 out of sixteen patients gained normal facial function while one had grade III facial weakness. Severe grade and sudden onset facial paralysis after temporal bone fracture should be surgically corrected as early as possible. The site of involvement of the facial canal and patient's hearing status should be considered in deciding the type of surgery to be applied.",0,,0,0,0,9,8,1,0,,Rev Laryngol Otol Rhinol (Bord). 1998;119(5):313-6.,"Goksu N, Bayazit AY, Beder L, Sirik‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂‚àö¬∫i A.",1998,10089800,"Tools: clinical evaluation, HB score Outcomes: facial function, hearing status",16,,,,,no nerve transfer,,,,,,
Pub-med,Revascularized muscle transfer for facial reanimation after long-standing facial paralysis,"The aim of the present study was to evaluate the results of a group of patients who had received free vascularized muscle transfer to the face for the treatment of long-standing facial paralysis. In 15 patients, neurovascular transfer of 16 segments of the gracilis muscle to the cheek was performed for reanimation of oral commissure movement. Voluntary muscle activation was evaluated by electromyography (EMG) and clinical function was assessed both metrically from frontal photographs and by a rating system with 6 categories. Patient satisfaction was explored through a self-administered questionnaire of general health (SF-36 health survey). The average follow-up period was 49.3 months. All patients showed voluntary activation of the grafted muscles in the EMG. Symmetry of the static and dynamic position of the oral commissure at rest and under function was considerably improved. In general, however, there was a tendency for undercorrection particularly in a vertical direction. Under function, the excursion of the oral commissure on the grafted side reached 63.7% and 65.5% of the nonparetic side in vertical and horizontal directions, respectively. Subjective rating of patient well-being showed that the scores were higher than or comparable to those of healthy adults in six of eight areas of evaluation.",0,,1,1,0,9,8,3,0,,Int J Oral Maxillofac Surg. 2000 Aug;29(4):243-9.,"Schliephake H, Schmelzeisen R, Tr‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√Ñ√∂‚àö‚Ä†‚àö√°ger M.",2000,11030393,"Tools:EMG, clinical evaluation, Self administered questionnaire for general health (DF-36)Outcomes:patient satisfaction, excursion of the oral commissure, ",15,,,,,no nerve transfer,,,,,,
Embase,Hypoglossal-facial crossover in facial-nerve palsy: Pure end-to-side anastomosis technique,"Hypoglossal-facial crossover is the most popular method of reconstructing the facial nerve in facial palsy resulting from proximal facial-nerve injury near the brainstem. Conventional hypoglossal-facial crossover involves performing a partial hypoglossal-nerve section or incision and an interpositional nerve graft to bridge the gap between the two nerves, which sometimes results in hemiglossal atrophy and its sequelae. Furthermore, the nerve graft may delay recovery and make facial reanimation weak. To solve these problems, we attempted to perform 'pure end-to-side anastomosis' (without section of the hypoglossal nerve) between the hypoglossal and facial nerves in four patients with facial palsy. In two patients (group I) a sural-nerve graft was used to bridge the gap between the two nerves. In the other two patients (group II) the intratemporal facial nerve was mobilised to the neck and one tension-free end-to-side anastomosis was performed. Facial symmetry and tone at rest were restored in all cases. Facial reanimation was achieved in group II after 8 months. Despite the small number of cases, we believe that the technique of hypoglossal-facial crossover with 'pure end-to-side anastomosis' and mobilisation of the intratemporal facial nerve can decrease donor-nerve morbidity in facial-nerve rehabilitation. ¬¨¬© 2002 The British Association of Plastic Surgeons.",3,,0,0,0,9,4,1,0,10.1054/bjps.2001.3727,British Journal of Plastic Surgery (2002) 55:1 (25-31). Date of Publication: 2002,"Koh K.S., Kim J.-K., Kim C.J., Kwun B.D., Kim S.-Y.",2002,11783965,,4,,,"Multiple nerve grafts:hypoglossal,anastomosis",,Hypoglossal nerve transfer,,,,,,
Pub-med,[Results of 13 hypoglosso-facial anastomoses],"Background and purpose: Facial nerve paralysis significantly decreases the quality of life in patients after skull base tumors surgery. There are different options for surgical repair of the nerve. One of the most effective methods is the anastomosis of the distal trunk of the facial nerve with the proximal trunk of the hypoglossal nerve or with hypoglossal loop. Material and methods: Thirteen hypoglosso-facial anastomoses had been performed in our department between 1999 and 2003. In all patients the facial nerve paralysis was due to the surgery in its proximity. In one case the patient suffered from petroclival chordoma, in one case ameloblastoma, one was with petroclival meningioma and the rest of cases were after vestibular schwannoma. The follow-up period lasted from 6 months to three years. The final result was expressed in House-Brackmann scale (HB) describing facial muscle strength. Results: In two cases there was no improvement (HB 6), in two cases barely perceptible motion (HB 5), in five obvious weekness with disfiguring assymetry (HB 4) and in four obvious but not disfiguring dysfunction (HB 3). There was only one postoperative complication haematoma at the place of anastomosis requiring evacuation. Conclusion: Hypoglosso-facial anastomosis remains one of the most important techniques of the reanimation of the paralysed face. Its efficacy is limited, but it is a relatively safe procedure.",3,,0,0,9,9,2,1,0,,Neurol Neurochir Pol. 2006 May-Jun;40(3):194-6; discussion 197.,"Zieli,Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂¬¨¬¢‚Äö√†√∂‚Äö√Ñ‚Ä†‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂¬¨¬•ski P, S‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂¬¨¬¢‚Äö√†√∂‚Äö√Ñ‚Ä†‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ‚Äö√†√∂¬¨‚àûoniewski P, Stempniewicz M.",2006,16794958,"repeat/Tools: HB scores Outcomes: facial muscle strenght,complications(hematoma)",13,6,36,Multiple nerve grafts:hypoglossal,repeat,Hypoglossal nerve transfer,,,,,,
Pub-med,Treatment of mucoepidermoid carcinoma of the parotid gland and successful repair of iatrogenic facial nerve paralysis,"A 15-year-old female patient developed facial nerve paralysis following surgical excision of a right parotid mass at another center. The histopathologic diagnosis of the lesion was mucoepidermoid carcinoma. On admission to our clinic, she underwent extended total parotidectomy and functional neck dissection. For facial nerve reanimation, cervical plexus nerve grafting was performed for frontal and buccal branches, and ansa hypoglossi anastomosis for the marginal mandibular branch. Postoperative radiotherapy was administered. Facial nerve functions returned to normal in the postoperative sixth month (House-Brackmann grade II). No locoregional recurrence or distant metastasis occurred in the follow-up period.",4,,0,0,0,7,2,1,0,,Kulak Burun Bogaz Ihtis Derg. 2008;18(1):44-8.,"Kutluhan A, Yurtta‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂¬¨¬¢‚Äö√†√∂‚Äö√Ñ‚Ä†‚Äö√Ñ√∂‚àö‚Ä†‚àö‚àÇ¬¨¬®‚Äö√†¬¥ V, Yuca K, K‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂‚Äö√Ñ‚Ä†‚Äö√†√∂‚Äö√†√á‚Äö√Ñ√∂‚àö√ë‚àö‚àÇ‚Äö√†√∂‚Äö√Ñ‚Ä†‚Äö√†√∂‚àö¬∞sem M, Yakut F.",2008,18443403,"cervical plexus nerve grafting was performed for frontal and buccal branches, and ansa hypoglossi anastomosis for the marginal mandibular branch",1,,,Other type of nerve graft:anastomosis,"cervical plexus nerve grafting was performed for frontal and buccal branches, and ansa hypoglossi anastomosis for the marginal mandibular branch",Ansa cervicalis nerve transfer,Hypoglossal nerve transfer,,,,,
Embase,Masseteric-facial nerve coaptation - an alternative technique for facial nerve reinnervation,"Background: Reinnervation of the facial musculature when there is loss of the proximal facial nerve poses a difficult clinical problem. Restoration of spontaneous mimetic motion is the aim and, to this end, the use of cross-facial nerve grafts has long been considered the reconstruction of choice. The nerve to masseter has been used very successfully for reinnervation of microvascular functioning muscle transfers for facial reanimation in established facial palsy but its use as a direct nerve transfer to the facial nerve to reinnervate 'viable' facial musculature has been scarce. Methods: Electron micrographic studies of axonal counts in the nerve to masseter and nerve to gracilis in a clinical series of seven patients undergoing surgery for facial nerve palsy were made. Based on these results, and previous success with the use of the nerve to masseter for reinnervation of free gracilis transfers, we report our experience with the transfer of the nerve to masseter for direct coaptation with the ipsilateral facial nerve to restore facial motion. Results: Our axonal counts of the nerve to masseter have, on average, 1542 ¬¨¬± 291.70 (SD) axons. Historical data have shown that the buccal branch of the facial nerve has 834 ¬¨¬± 285 (SD) where the distal end of a cross-facial nerve graft has 100 to 200 axons. Our clinical use of the nerve to masseter as a direct nerve transfer in three patients based on these data has resulted in significant improvement in facial symmetry in repose (at a minimum of 1 year follow up), restoration of facial motion with occasional spontaneous activity and minimal synkinesis without any donor morbidity. Conclusions: The advantages of this technique include the ease of dissection, constant and reliable anatomy, powerful reinnervation of the facial muscles without donor site morbidity and the potential for return of spontaneous facial movement. Crown Copyright ¬¨¬© 2008.",1,,1,3,1,9,4,1,0,10.1016/j.bjps.2008.05.046,"Journal of Plastic, Reconstructive and Aesthetic Surgery (2009) 62:12 (1580-1588). Date of Publication: December 2009","Coombs C.J., Ek E.W., Wu T., Cleland H., Leung M.K.",2009,18842469,,3,,,,,Cross-facial nerve transfer,,,,,,
